datetime,total_precipitation_sum
13-May-19,0
14-May-19,0
15-May-19,0
16-May-19,0
17-May-19,0.001
18-May-19,0.006
19-May-19,0.001
20-May-19,0.002
21-May-19,0
22-May-19,0
23-May-19,0
24-May-19,0
25-May-19,0
26-May-19,0
27-May-19,0
28-May-19,0
29-May-19,0
30-May-19,0
31-May-19,0
1-Jun-19,0
2-Jun-19,0
3-Jun-19,0
4-Jun-19,0
5-Jun-19,0
6-Jun-19,0
7-Jun-19,0
8-Jun-19,0
9-Jun-19,0
10-Jun-19,0
11-Jun-19,0
12-Jun-19,0
13-Jun-19,0
14-Jun-19,0
15-Jun-19,0
16-Jun-19,0
17-Jun-19,0
18-Jun-19,0
19-Jun-19,0
20-Jun-19,0
21-Jun-19,0
22-Jun-19,0
23-Jun-19,0
24-Jun-19,0
25-Jun-19,0
26-Jun-19,0
27-Jun-19,0
28-Jun-19,0
29-Jun-19,0
30-Jun-19,0
1-Jul-19,0
2-Jul-19,0
3-Jul-19,0
4-Jul-19,0
5-Jul-19,0
6-Jul-19,0
7-Jul-19,0
8-Jul-19,0
9-Jul-19,0
10-Jul-19,0
11-Jul-19,0
12-Jul-19,0
13-Jul-19,0
14-Jul-19,0
15-Jul-19,0
16-Jul-19,0
17-Jul-19,0
18-Jul-19,0
19-Jul-19,0
20-Jul-19,0
21-Jul-19,0
22-Jul-19,0
23-Jul-19,0
24-Jul-19,0
25-Jul-19,0
26-Jul-19,0
27-Jul-19,0
28-Jul-19,0.002
29-Jul-19,0.001
30-Jul-19,0
31-Jul-19,0
1-Aug-19,0
2-Aug-19,0
3-Aug-19,0
4-Aug-19,0
5-Aug-19,0
6-Aug-19,0
7-Aug-19,0
8-Aug-19,0
9-Aug-19,0
10-Aug-19,0
11-Aug-19,0
12-Aug-19,0
13-Aug-19,0
14-Aug-19,0
15-Aug-19,0
16-Aug-19,0
17-Aug-19,0
18-Aug-19,0
19-Aug-19,0
20-Aug-19,0
21-Aug-19,0
22-Aug-19,0.001
23-Aug-19,0
24-Aug-19,0
25-Aug-19,0
26-Aug-19,0
27-Aug-19,0
28-Aug-19,0
29-Aug-19,0
30-Aug-19,0
31-Aug-19,0
1-Sep-19,0
2-Sep-19,0
3-Sep-19,0
4-Sep-19,0
5-Sep-19,0
6-Sep-19,0
7-Sep-19,0
8-Sep-19,0
9-Sep-19,0
10-Sep-19,0
11-Sep-19,0
12-Sep-19,0
13-Sep-19,0
14-Sep-19,0
15-Sep-19,0
16-Sep-19,0
17-Sep-19,0
18-Sep-19,0
19-Sep-19,0
20-Sep-19,0
21-Sep-19,0
22-Sep-19,0
23-Sep-19,0
24-Sep-19,0.001
25-Sep-19,0
26-Sep-19,0
27-Sep-19,0.001
28-Sep-19,0
29-Sep-19,0.001
30-Sep-19,0
1-Oct-19,0.001
2-Oct-19,0.001
3-Oct-19,0.002
4-Oct-19,0.001
5-Oct-19,0.001
6-Oct-19,0.001
7-Oct-19,0.001
8-Oct-19,0
9-Oct-19,0
10-Oct-19,0
11-Oct-19,0
12-Oct-19,0
13-Oct-19,0
14-Oct-19,0
15-Oct-19,0
16-Oct-19,0
17-Oct-19,0
18-Oct-19,0
19-Oct-19,0
20-Oct-19,0
21-Oct-19,0
22-Oct-19,0
23-Oct-19,0
24-Oct-19,0
25-Oct-19,0
26-Oct-19,0
27-Oct-19,0
28-Oct-19,0
29-Oct-19,0
30-Oct-19,0.001
31-Oct-19,0
1-Nov-19,0
2-Nov-19,0
3-Nov-19,0
4-Nov-19,0
5-Nov-19,0
6-Nov-19,0
7-Nov-19,0
8-Nov-19,0
9-Nov-19,0
10-Nov-19,0
11-Nov-19,0.001
12-Nov-19,0
13-Nov-19,0
14-Nov-19,0
15-Nov-19,0
16-Nov-19,0
17-Nov-19,0
18-Nov-19,0
19-Nov-19,0
20-Nov-19,0
21-Nov-19,0.004
22-Nov-19,0.001
23-Nov-19,0
24-Nov-19,0
25-Nov-19,0
26-Nov-19,0
27-Nov-19,0
28-Nov-19,0
29-Nov-19,0
30-Nov-19,0
1-Dec-19,0
2-Dec-19,0
3-Dec-19,0
4-Dec-19,0
5-Dec-19,0
6-Dec-19,0
7-Dec-19,0.001
8-Dec-19,0.001
9-Dec-19,0
10-Dec-19,0
11-Dec-19,0
12-Dec-19,0
13-Dec-19,0
14-Dec-19,0
15-Dec-19,0
16-Dec-19,0
17-Dec-19,0
18-Dec-19,0
19-Dec-19,0
20-Dec-19,0
21-Dec-19,0
22-Dec-19,0
23-Dec-19,0
24-Dec-19,0
25-Dec-19,0
26-Dec-19,0
27-Dec-19,0
28-Dec-19,0.001
29-Dec-19,0.001
30-Dec-19,0
31-Dec-19,0.001
1-Jan-20,0
2-Jan-20,0
3-Jan-20,0
4-Jan-20,0
5-Jan-20,0
6-Jan-20,0
7-Jan-20,0
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0.003
11-Jan-20,0.004
12-Jan-20,0
13-Jan-20,0
14-Jan-20,0
15-Jan-20,0
16-Jan-20,0
17-Jan-20,0
18-Jan-20,0
19-Jan-20,0
20-Jan-20,0
21-Jan-20,0
22-Jan-20,0
23-Jan-20,0
24-Jan-20,0
25-Jan-20,0
26-Jan-20,0.001
27-Jan-20,0
28-Jan-20,0
29-Jan-20,0
30-Jan-20,0
31-Jan-20,0
1-Feb-20,0
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
18-Feb-20,0
19-Feb-20,0
20-Feb-20,0
21-Feb-20,0
22-Feb-20,0
23-Feb-20,0
24-Feb-20,0
25-Feb-20,0
26-Feb-20,0
27-Feb-20,0
28-Feb-20,0
29-Feb-20,0
